filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
18NAVY27_v2_lun_1_GF8_01_39646.mzXML,18NAVY27_v2_lun_1,"Bread, Multi-grain, Aspen,Mayonnaise Kraft 8/14,Mustard, Spicy Brown 8/14",,,,,,,
18NAVY27_v2_lun_2_GG8_01_39649.mzXML,18NAVY27_v2_lun_2,"Turkey, ROAST,FRESH,TOM",,,,,,,
18NAVY27_v2_lun_3_GH8_01_39647.mzXML,18NAVY27_v2_lun_3,Cheese Cheddar Sliced 11/06,,,,,,,
18NAVY27_v2_lun_4_GA9_01_39645.mzXML,18NAVY27_v2_lun_4,Grapes Red or Green,,,,,,,
18NAVY27_v2_lun_5_GB9_01_39648.mzXML,18NAVY27_v2_lun_5,"Potato chip Lays 2007,Mustard, Spicy Brown 8/14,Mayonnaise Kraft 8/14",,,,,,,
18NAVY27_v2_snk_1_GH7_01_39524.mzXML,18NAVY27_v2_snk_1,"Triscuits Nabisco, 8/14,Apple Juice 7/15",,,,,,,
18NAVY27_v2_snk_2_GA8_01_39525.mzXML,18NAVY27_v2_snk_2,"Peanut Butter Smooth, 3/16,Apple Juice 7/15",,,,,,,
18NAVY27_v2_sup_1_GE8_01_39600.mzXML,18NAVY27_v2_sup_1,"Chicken Breast,Spaghetti COOKED,Pasta Sauce,Angela Mia, 12/10,Oil Olive,Parmesan Cheese 8/14,Roll, Hawaiian,Butter, without salt 7/14,Pound Cake Sara Lee,All Butter 8/14,Peaches in Juice MONARCH 3/08",,,,,,,
18NAVY28_v1_brk_1_rerun_GG11_01_39669.mzXML,18NAVY28_v1_brk_1,Cheese Cheddar Shredded,,,,,,,
18NAVY28_v1_brk_2_GH11_01_39565.mzXML,18NAVY28_v1_brk_2,"Tortilla, Flour",,,,,,,
18NAVY28_v1_brk_3_GA12_01_39566.mzXML,18NAVY28_v1_brk_3,"Black Beans, reduced sodium (Drained 9/14),Picante Sauce SS packet 8/14",,,,,,,
